yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7
2030,78Sleep,bev,0,0,0,0
2030,78Sleep,conventional_diesel_ice,0.3192685730035527,0.36017063515459063,0.3192685730035527,0.36017063515459063
2030,78Sleep,fcev,0,0,0,0
2030,78Sleep,hev,0.292123323494087,0.26495033377932464,0.292123323494087,0.26495033377932464
2030,78Sleep,na,0,0,0,0
2030,78SU,adv_conv,0.05057537233614216,0.015045160259196068,0.05057537233614216,0.01504516025919607
2030,78SU,bev,0,0,0,0
2030,78SU,conventional_diesel_ice,0.48794462499035585,0.6476599666478376,0.48794462499035585,0.6476599666478375
2030,78SU,fcev,4.988669279177254e-5,7.697783060403337e-6,4.988669279177254e-5,7.697783060403337e-6
2030,78SU,hev,0.46143011598071004,0.33728717530990604,0.4614301159807101,0.33728717530990604
2030,78SU,na,0,0,0,0
2031,78Day,adv_conv,0.34337243443547427,0.2633926165459769,0.34337243443547427,0.2633926165459769
2031,78Day,bev,0,0,0,0
2031,78Day,conventional_diesel_ice,0.37882977144735264,0.5380066292860815,0.3788297714473527,0.5380066292860815
2031,78Day,fcev,0,0,0,0
2031,78Day,hev,0.2777977941171732,0.19860075416794187,0.2777977941171732,0.19860075416794187
2031,78Day,na,0,0,0,0
2031,78Sleep,adv_conv,0.4692175507286716,0.4554745144285645,0.4692175507286716,0.4554745144285645
2031,78Sleep,bev,0,0,0,0
2031,78Sleep,conventional_diesel_ice,0.1629574069945651,0.20776289874632103,0.1629574069945651,0.20776289874632103
2031,78Sleep,fcev,0,0,0,0
2031,78Sleep,hev,0.36782504227676344,0.3367625868251143,0.36782504227676344,0.3367625868251143
2031,78Sleep,na,0,0,0,0
2031,78SU,adv_conv,0.007137107117140745,0.0012937842083805043,0.007137107117140745,0.0012937842083805043
2031,78SU,bev,0,0,0,0
2031,78SU,conventional_diesel_ice,0.3930243902846024,0.5870213614693512,0.3930243902846024,0.5870213614693512
2031,78SU,fcev,3.84090690842542e-4,6.433207175473451e-5,3.84090690842542e-4,6.433207175473453e-5
2031,78SU,hev,0.5994544119074142,0.4116205222505136,0.5994544119074142,0.4116205222505136
2031,78SU,na,0,0,0,0
2032,78Day,adv_conv,0.3857366832147,0.30126766529756005,0.3857366832147,0.30126766529756005
2032,78Day,bev,0,0,0,0
2032,78Day,conventional_diesel_ice,0.298783441411107,0.46916898300487714,0.298783441411107,0.4691689830048772
2032,78Day,fcev,0,0,0,0
2032,78Day,hev,0.31547987537419314,0.22956335169756303,0.31547987537419314,0.22956335169756303
2032,78Day,na,0,0,0,0
2032,78Sleep,adv_conv,0.5078183002106125,0.49439258001312214,0.5078183002106125,0.4943925800131222
2032,78Sleep,bev,0,0,0,0
2032,78Sleep,conventional_diesel_ice,0.08490060856871676,0.13097388218491016,0.08490060856871669,0.1309738821849101
2032,78Sleep,fcev,0,0,0,0
2032,78Sleep,hev,0.4072810912206709,0.3746335378019675,0.4072810912206709,0.3746335378019675
2032,78Sleep,na,0,0,0,0
2032,78SU,adv_conv,0.011431845006071582,0.002157683184443703,0.011431845006071582,0.002157683184443703
2032,78SU,bev,0,0,0,0
2032,78SU,conventional_diesel_ice,0.34192126449908355,0.5524477955142997,0.34192126449908355,0.5524477955142997
2032,78SU,fcev,0.0013893496843179257,2.445312067971458e-4,0.001389349684317926,2.445312067971458e-4
2032,78SU,hev,0.6452575408105268,0.44514999009445955,0.6452575408105268,0.44514999009445955
2032,78SU,na,0,0,0,0
2033,78Day,adv_conv,0.4050200763460988,0.3207811632985886,0.4050200763460988,0.3207811632985886
2033,78Day,bev,0,0,0,0
2033,78Day,conventional_diesel_ice,0.2605038084469805,0.4327693693947048,0.26050380844698046,0.4327693693947048
2033,78Day,fcev,0,0,0,0
2033,78Day,hev,0.3344761152069209,0.24644946730670694,0.3344761152069209,0.24644946730670694
2033,78Day,na,0,0,0,0
2033,78Sleep,adv_conv,0.5188813309647224,0.5065272774099092,0.5188813309647224,0.5065272774099092
2033,78Sleep,bev,0,0,0,0
2033,78Sleep,conventional_diesel_ice,0.053180055193738494,0.09857391425473551,0.053180055193738515,0.09857391425473551
2033,78Sleep,fcev,0,0,0,0
2033,78Sleep,hev,0.4279386138415392,0.3948988083353551,0.4279386138415392,0.3948988083353551
2033,78Sleep,na,0,0,0,0
2033,78SU,adv_conv,0.0108213795172555,0.0020323150485430782,0.0108213795172555,0.0020323150485430782
2033,78SU,bev,0,0,0,0
2033,78SU,conventional_diesel_ice,0.3203567975968462,0.5356662073094727,0.3203567975968462,0.5356662073094727
2033,78SU,fcev,0.003733713579317873,6.905233744064774e-4,0.0037337135793178737,6.905233744064775e-4
